user,item,error
2718,1920,0.0019207482691854239
1038,1530,0.0032576126977801323
5502,3272,0.006066839676350355
2424,2446,0.0005349831189960241
573,1035,0.034675996750593185
3392,1950,0.004527760669589043
294,579,0.000417407980421558
2421,2468,0.001038520596921444
4295,1750,0.0023275064304471016
5537,3474,0.0070566595532000065
4855,2225,0.1366146057844162
930,2289,2.721290002227761e-05
5451,3200,0.0018475840333849192
183,1002,0.0032703622709959745
239,825,4.043209264636971e-05
829,81,0.001540966215543449
4615,2044,0.017758674919605255
844,2450,0.008656783029437065
380,2124,0.05491582676768303
2850,3004,0.0009595013689249754
304,1476,0.0007406304939649999
1436,1191,0.05052308365702629
1710,520,0.026290737092494965
904,239,8.421239385825174e-07
858,245,0.014963741414248943
3916,1820,0.0028995331376791
1391,2254,0.0002475499059073627
972,815,0.007308701053261757
4652,2419,1.8030623197555542
3585,1595,4.379971869639121e-06
220,1124,0.010531575419008732
319,1970,0.06877953559160233
935,93,0.00023425891413353384
1111,115,0.0001473341544624418
3098,1250,3.7404395698104054e-05
396,2136,0.0005692075355909765
509,1336,0.005369378253817558
1839,2885,0.0010325976181775331
1898,2758,0.0011457063956186175
514,1196,3.3510241337353364e-07
482,1468,0.08168953657150269
4004,1524,2.7853275241795927e-08
3892,2225,0.0018362057162448764
1283,1296,0.0007638567476533353
1388,2372,0.06838206201791763
2076,1273,0.0059916777536273
4868,2714,0.00041614248766563833
4130,1972,0.0004156368086114526
3496,3224,0.00013080358621664345
3340,1308,0.0005505240405909717
401,1070,0.003442957531660795
5459,3281,0.0010598812950775027
772,1430,0.007383614778518677
5,1920,0.08913246542215347
319,608,0.0023714436683803797
107,1217,0.004205194301903248
3916,2007,0.004921142011880875
184,3507,0.001361085451208055
1828,2693,0.018500063568353653
539,1211,5.585630060522817e-05
1367,731,0.000748384918551892
307,1198,0.12637396156787872
3297,677,0.000641829683445394
208,1062,3.9085152820916846e-05
2343,343,0.013012276962399483
408,1512,0.15632478892803192
279,463,0.0009721567621454597
983,2164,0.003035480622202158
2226,397,0.0008191182860173285
1264,345,0.002300508785992861
1294,1216,0.002036739606410265
3018,1966,0.015438046306371689
537,1840,0.0009723351686261594
4888,2422,0.15358304977416992
438,231,0.01887788437306881
904,834,0.00022720434935763478
2503,3034,0.005839772056788206
319,868,7.70633268984966e-05
840,1988,0.0004931835574097931
109,2306,0.01609894074499607
37,592,0.010241750627756119
4517,1914,7.059312338242307e-06
5138,2571,0.01980155147612095
348,1193,0.08265921473503113
3000,1451,0.004143210127949715
836,852,0.0030757561326026917
3566,1908,0.0021068197675049305
2300,1969,0.16888652741909027
3950,1857,0.002051658695563674
921,1680,0.01537211611866951
2835,1410,0.0017890669405460358
3392,2257,0.0006939216400496662
4053,2346,0.011336290277540684
4070,1920,0.00232578138820827
226,1439,0.00042610373930074275
4730,2234,0.0678204819560051
90,3,0.012433690950274467
218,1910,0.026478253304958344
1595,2891,0.00024833076167851686
408,2105,0.0007656237576156855
120,3279,0.00792418047785759
222,1958,0.0009139493340626359
126,1582,0.2578977644443512
4217,2329,0.0016810593660920858
1848,3165,0.00036673236172646284
2785,3077,0.0002163755998481065
4921,2258,0.000199148416868411
1023,106,0.0026559187099337578
2803,2432,0.012451482936739922
2621,424,0.0005140059511177242
4817,2389,6.7585242504719645e-06
0,0,0.006879218854010105
3903,2583,9.16876524570398e-05
2361,1777,0.07073154300451279
2860,1565,0.00048376203631050885
2749,3209,0.0015655469615012407
77,240,0.055308353155851364
1155,2598,0.003072028513997793
1197,823,0.002106841653585434
858,2629,0.00600944459438324
367,321,0.0007192454650066793
1582,987,0.0006849071360193193
646,1795,0.1655520349740982
1757,240,0.0019768450874835253
4212,3270,0.00012857177352998406
2045,649,0.009749419055879116
1473,169,0.007560852449387312
2320,2224,0.04880768433213234
1572,2707,3.748025847016834e-05
61,2,0.0032106456346809864
1437,1673,0.014983346685767174
1780,1598,0.0036362186074256897
77,2618,0.006430923938751221
4895,2149,0.00015116135182324797
2329,757,0.03395364060997963
292,2413,0.007962514646351337
2297,1199,0.07276847213506699
2025,2450,0.005554384086281061
1022,1149,0.0016030501574277878
2368,1097,0.012009561993181705
3848,2287,6.556804873980582e-05
344,1693,0.0018724675755947828
2291,2122,0.009058989584445953
593,966,0.001957325031980872
2679,439,0.0018280824879184365
3676,917,0.00039790390292182565
1615,178,0.011226185597479343
2164,1310,0.00019112895824946463
1722,1990,0.0036549612414091825
25,2240,0.0008440198143944144
1452,2146,0.00022773654200136662
266,384,1.4833387467660941e-05
1786,745,0.0022473023273050785
1148,2541,0.001333745545707643
555,1734,0.002511595841497183
1042,1841,0.0022085902746766806
657,246,0.0007589227170683444
294,751,0.0012935473350808024
1796,2723,2.617818972794339e-05
3194,2953,0.0006636602338403463
86,1614,0.016980959102511406
494,580,0.017907168716192245
1387,2256,0.0633392333984375
1213,2003,0.24189943075180054
5176,3145,0.004829815123230219
1908,1948,5.1514394726837054e-05
858,3270,0.024516988545656204
5308,2864,0.0047394088469445705
1999,650,0.01278914138674736
1398,2124,0.033258188515901566
1097,947,0.008223663084208965
2995,788,1.0027179087046534e-10
4341,1777,0.00025925380759872496
2894,1046,0.003987552132457495
1224,1836,0.004792209714651108
1536,2079,0.0001233859220519662
4635,3358,3.452252713032067e-05
472,2584,0.08183078467845917
1370,1481,0.02351735532283783
77,889,0.014504416845738888
4634,3182,0.003277401439845562
430,2658,0.001016267342492938
1270,2722,0.0005270168767310679
3605,2395,0.0008733337745070457
5237,2855,0.0006602006615139544
130,844,0.021301355212926865
2723,964,1.585685822647065e-05
1030,1330,0.00024797022342681885
4098,2065,0.0005971179343760014
88,1136,0.0320078544318676
3602,1108,0.001623351126909256
1239,1787,8.036073268158361e-06
1011,1110,1.9964834791608155e-05
346,106,0.0011962871067225933
162,638,0.00643191859126091
357,33,0.0005075185326859355
582,1353,0.010770146735012531
187,1327,0.0006668086862191558
87,280,0.00011874289339175448
2967,631,5.1420056479400955e-06
294,142,0.0008523382130078971
1064,360,0.04389337822794914
2577,432,0.0008664285414852202
54,1035,0.018162287771701813
1496,1673,0.03599518537521362
690,3216,9.871409929473884e-06
2166,290,0.005339719820767641
3335,1657,0.0005166688351891935
1477,2419,0.01773163117468357
5024,2432,0.02556837536394596
3395,905,0.00010826534708030522
2861,2989,2.142974153684918e-06
4694,2164,0.008144204504787922
3474,2124,0.013345145620405674
1193,2405,0.024309122934937477
3088,2200,0.011992218904197216
2649,520,0.002733292756602168
111,2464,0.24553143978118896
307,2655,0.0002511792699806392
3699,1828,0.009610926732420921
1843,1078,0.027190538123250008
4359,2192,3.1109222618397325e-05
878,2316,0.0007880572229623795
737,874,0.001690721488557756
1193,1145,0.0002456180809531361
4884,2245,0.0020105275325477123
741,987,0.0004182072007097304
3506,3003,7.062348595354706e-05
2329,994,0.006850298959761858
1759,645,0.0005451000761240721
729,183,0.0018544361228123307
1989,3156,0.0014464008854702115
1920,1853,0.15439550578594208
264,2590,0.005072345025837421
4532,3033,0.0027262174990028143
209,106,0.0004951551673002541
479,2586,0.018829628825187683
1906,2006,0.0031304743606597185
4695,2764,0.0015821560518816113
1620,1656,6.33641320746392e-06
4759,2244,0.004307729657739401
1107,2833,0.0003130100085400045
811,2820,0.0003862155135720968
385,1745,0.0037601212970912457
79,798,0.009768732823431492
1427,1565,0.013675637543201447
2844,1489,0.00014695819118060172
973,2704,0.014668893069028854
3349,720,0.0046418290585279465
4459,1680,0.18265902996063232
294,889,0.008996760472655296
832,2204,0.0015385712031275034
77,3016,0.005447649396955967
861,228,0.0009561218903400004
339,240,0.00017984333680942655
120,3359,0.0002834083279594779
1627,2708,0.0023854433093219995
3037,952,0.00023166794562712312
1214,1257,3.433786332607269e-05
804,1866,0.035195957869291306
294,797,0.010811060667037964
1501,2136,0.0003662394010461867
4587,1777,0.2302471548318863
2953,2576,0.003936976660043001
143,176,6.476355338236317e-05
3263,1602,0.0001633393403608352
546,1673,0.050662729889154434
175,1985,0.01472172699868679
4227,1845,0.00039623159682378173
248,961,0.002793702995404601
1435,533,0.0003648718702606857
208,656,8.415114280069247e-05
3591,905,0.00020682491594925523
2127,1334,0.010741463862359524
198,667,0.02612815983593464
